Alg	n	k	ns/op
Rev	19	4	36.1
Lex	7	0	19.2
Lex	11	5	39.8
Rev	4	0	18.2
Lex	6	3	37.6
Rev	16	3	33.3
Rev	18	17	63.2
Rev	14	4	35.2
Rev	16	1	25.6
Lex	18	8	45.6
Rev	10	6	40.7
Rev	15	14	55.3
Rev	8	8	87.2
Lex	9	8	48.9
Lex	17	6	42.6
Rev	18	9	44.9
Rev	18	10	46.8
Lex	8	4	37.6
Lex	11	2	32.5
Lex	14	2	30.9
Rev	2	0	18.6
Rev	16	9	47.9
Rev	9	9	78.6
Lex	15	5	42.7
Rev	11	6	38.6
Lex	13	12	53.4
Rev	14	3	36.2
Rev	12	11	51.9
Rev	17	1	24.5
Lex	18	15	59.8
Rev	10	0	18.3
Rev	19	3	36.7
Lex	2	2	57.5
Rev	2	2	57.2
Lex	10	0	19.7
Lex	16	1	22.4
Lex	17	1	21.4
Lex	5	5	72.8
Rev	13	11	56.5
Lex	15	4	36.1
Lex	16	3	36.9
Rev	11	9	53.1
Rev	18	8	44.9
Rev	8	7	47.9
Lex	10	9	56.9
Lex	12	0	20.4
Lex	13	11	52.6
Rev	17	3	35.2
Lex	5	1	23.5
Lex	9	6	44.5
Lex	10	5	45.1
Rev	19	14	51.0
Lex	13	6	41.7
Lex	14	9	53.1
Rev	7	5	47.5
Rev	14	2	31.7
Rev	8	2	34.2
Lex	11	4	36.6
Lex	11	11	94.5
Lex	15	0	18.7
Rev	18	12	51.6
Rev	18	7	46.5
Lex	19	11	48.7
Rev	19	13	54.2
Rev	0	0	19.0
Rev	13	10	44.5
Rev	14	11	51.5
Rev	17	4	35.7
Rev	3	2	43.8
Lex	15	8	44.4
Lex	8	3	35.8
Rev	13	2	31.7
Lex	14	3	33.5
Lex	17	16	65.3
Lex	19	14	54.3
Lex	9	1	24.1
Lex	15	9	49.6
Rev	17	0	19.0
Rev	13	3	38.1
Lex	19	2	30.3
Rev	15	3	33.8
Lex	15	10	48.1
Lex	12	1	22.6
Lex	13	4	36.3
Lex	14	0	18.4
Rev	13	7	48.7
Rev	10	4	37.5
Rev	12	10	47.9
Lex	11	9	47.2
Lex	16	8	42.7
Rev	9	8	44.6
Lex	7	7	83.4
Rev	10	1	23.4
Rev	16	7	44.1
Lex	10	4	38.5
Lex	10	7	44.2
Rev	11	7	44.5
Lex	13	5	41.4
Lex	7	2	34.7
Lex	10	2	34.7
Lex	18	3	34.0
Lex	19	5	38.8
Rev	17	16	58.7
Rev	18	0	18.5
Lex	18	14	58.1
Rev	8	4	39.5
Rev	12	0	18.0
Lex	12	10	51.1
Lex	3	3	62.1
Lex	14	14	110.2
Lex	16	2	30.9
Lex	0	0	18.9
Rev	4	1	25.2
Rev	11	1	27.6
Rev	14	8	43.6
Rev	15	10	44.4
Rev	18	1	22.3
Lex	16	6	39.0
Rev	5	5	72.3
Rev	19	1	22.1
Lex	2	1	31.4
Lex	15	3	36.1
Lex	16	0	18.3
Rev	6	6	69.6
Lex	11	10	54.2
Rev	12	6	38.5
Rev	7	2	33.8
Rev	16	15	61.2
Lex	5	2	35.2
Lex	6	1	24.6
Lex	17	8	46.8
Lex	9	3	35.4
Lex	11	0	19.3
Lex	14	11	50.8
Rev	1	1	38.2
Rev	9	1	24.8
Rev	16	14	52.9
Rev	17	12	47.3
Lex	13	8	44.1
Lex	18	6	38.3
Lex	6	4	42.3
Lex	8	0	18.6
Lex	8	5	42.7
Rev	16	0	19.0
Lex	19	1	23.0
Lex	19	10	47.4
Rev	8	3	36.5
Rev	10	5	39.0
Rev	5	1	25.7
Rev	5	2	34.6
Rev	10	2	31.4
Lex	18	17	66.1
Lex	5	3	39.8
Lex	10	10	89.8
Rev	11	2	31.5
Lex	4	1	25.1
Rev	16	4	35.8
Lex	16	15	59.9
Lex	13	9	50.6
Rev	18	4	36.6
Rev	12	1	25.9
Rev	13	8	41.5
Lex	17	13	54.1
Lex	7	1	25.4
Lex	9	2	33.8
Rev	19	8	42.6
Lex	7	5	42.2
Lex	16	7	43.7
Lex	17	3	32.7
Rev	19	0	19.5
Rev	3	3	59.9
Rev	9	2	32.9
Lex	10	1	25.5
Lex	12	12	103.0
Lex	15	2	31.2
Lex	12	6	41.1
Lex	12	11	52.5
Rev	16	16	98.5
Rev	8	5	41.0
Rev	12	5	41.1
Lex	18	12	58.0
Rev	4	2	38.4
Lex	5	0	18.3
Rev	5	0	18.5
Lex	16	16	125.5
Lex	14	10	47.6
Lex	18	2	31.0
Lex	19	6	38.6
